Year,Month,RecreationVisits,UnitCode
1996,10,280577,ACAD
1996,11,56828,ACAD
1996,12,19464,ACAD
1997,1,16292,ACAD
1997,2,17230,ACAD
1997,3,27035,ACAD
1997,4,77005,ACAD
1997,5,132194,ACAD
1997,6,340064,ACAD
1997,7,622847,ACAD
1997,8,758140,ACAD
1997,9,404808,ACAD
1997,10,287171,ACAD
1997,11,57810,ACAD
1997,12,19710,ACAD
1998,1,16726,ACAD
1998,2,17028,ACAD
1998,3,27500,ACAD
1998,4,81896,ACAD
1998,5,148052,ACAD
1998,6,307208,ACAD
1998,7,565477,ACAD
1998,8,701097,ACAD
1998,9,391378,ACAD
1998,10,266138,ACAD
1998,11,55225,ACAD
1998,12,16772,ACAD
1999,1,16430,ACAD
1999,2,17162,ACAD
1999,3,33688,ACAD
1999,4,82993,ACAD
1999,5,174610,ACAD
1999,6,315980,ACAD
1999,7,562996,ACAD
1999,8,639073,ACAD
1999,9,426024,ACAD
1999,10,277644,ACAD
1999,11,39416,ACAD
1999,12,16211,ACAD
2000,1,22500,ACAD
2000,2,23848,ACAD
2000,3,35423,ACAD
2000,4,78555,ACAD
2000,5,166456,ACAD
2000,6,319208,ACAD
2000,7,547929,ACAD
2000,8,594904,ACAD
2000,9,378135,ACAD
2000,10,253626,ACAD
2000,11,33693,ACAD
2000,12,14961,ACAD
2001,1,18090,ACAD
2001,2,23926,ACAD
2001,3,35473,ACAD
2001,4,76007,ACAD
2001,5,157353,ACAD
2001,6,325242,ACAD
2001,7,558641,ACAD
2001,8,630240,ACAD
2001,9,377456,ACAD
2001,10,257280,ACAD
2001,11,41353,ACAD
2001,12,15490,ACAD
2002,1,15309,ACAD
2002,2,25071,ACAD
2002,3,34498,ACAD
2002,4,72528,ACAD
2002,5,163145,ACAD
2002,6,325441,ACAD
2002,7,571119,ACAD
2002,8,636824,ACAD
2002,9,392531,ACAD
2002,10,271312,ACAD
2002,11,36589,ACAD
2002,12,14205,ACAD
2003,1,22917,ACAD
2003,2,21993,ACAD
2003,3,34274,ACAD
2003,4,68444,ACAD
2003,5,135443,ACAD
2003,6,309230,ACAD
2003,7,547836,ACAD
2003,8,595191,ACAD
2003,9,376060,ACAD
2003,10,262412,ACAD
2003,11,44294,ACAD
2003,12,12968,ACAD
2004,1,11861,ACAD
2004,2,14266,ACAD
2004,3,20952,ACAD
2004,4,60180,ACAD
2004,5,134597,ACAD
2004,6,305134,ACAD
2004,7,471406,ACAD
2004,8,524675,ACAD
2004,9,357146,ACAD
2004,10,261284,ACAD
2004,11,34125,ACAD
2004,12,12221,ACAD
2005,1,10810,ACAD
2005,2,11831,ACAD
2005,3,18917,ACAD
2005,4,59773,ACAD
2005,5,110330,ACAD
2005,6,275175,ACAD
2005,7,468512,ACAD
2005,8,519350,ACAD
2005,9,321070,ACAD
2005,10,207599,ACAD
2005,11,37101,ACAD
2005,12,11016,ACAD
2006,1,13494,ACAD
2006,2,12924,ACAD
2006,3,21695,ACAD
2006,4,59034,ACAD
2006,5,120889,ACAD
2006,6,244333,ACAD
2006,7,476631,ACAD
2006,8,506833,ACAD
2006,9,330649,ACAD
2006,10,249850,ACAD
2006,11,33903,ACAD
2006,12,13353,ACAD
2007,1,12415,ACAD
2007,2,11068,ACAD
2007,3,19220,ACAD
2007,4,61775,ACAD
2007,5,132152,ACAD
2007,6,273765,ACAD
2007,7,461894,ACAD
2007,8,544892,ACAD
2007,9,371217,ACAD
2007,10,263311,ACAD
2007,11,41449,ACAD
2007,12,9070,ACAD
2008,1,10744,ACAD
2008,2,11131,ACAD
2008,3,17489,ACAD
2008,4,53798,ACAD
2008,5,125679,ACAD
2008,6,263542,ACAD
2008,7,470295,ACAD
2008,8,514443,ACAD
2008,9,319582,ACAD
2008,10,246533,ACAD
2008,11,32759,ACAD
2008,12,9862,ACAD
2009,1,9366,ACAD
2009,2,9751,ACAD
2009,3,19258,ACAD
2009,4,59277,ACAD
2009,5,129885,ACAD
2009,6,244780,ACAD
2009,7,457622,ACAD
2009,8,586446,ACAD
2009,9,399789,ACAD
2009,10,258007,ACAD
2009,11,44042,ACAD
2009,12,9475,ACAD
2010,1,10510,ACAD
2010,2,13398,ACAD
2010,3,26080,ACAD
2010,4,57992,ACAD
2010,5,169898,ACAD
2010,6,286635,ACAD
2010,7,545382,ACAD
2010,8,627918,ACAD
2010,9,431001,ACAD
2010,10,289114,ACAD
2010,11,36736,ACAD
2010,12,9544,ACAD
2011,1,10428,ACAD
2011,2,9533,ACAD
2011,3,19510,ACAD
2011,4,58307,ACAD
2011,5,132720,ACAD
2011,6,297222,ACAD
2011,7,559892,ACAD
2011,8,583153,ACAD
2011,9,387868,ACAD
2011,10,270477,ACAD
2011,11,34192,ACAD
2011,12,11343,ACAD
2012,1,11930,ACAD
2012,2,12388,ACAD
2012,3,22684,ACAD
2012,4,59471,ACAD
2012,5,157406,ACAD
2012,6,309198,ACAD
2012,7,539234,ACAD
2012,8,574307,ACAD
2012,9,391810,ACAD
2012,10,302932,ACAD
2012,11,38385,ACAD
2012,12,11307,ACAD
